1	thường	thường	O	
2	thay_đổi	thay_đổi	O	
3	giá	giá	B-ASPECT	
4	các	các	O	
5	thiết_bị	thiết_bị	O	
6	vào	vào	O	
7	một	một	O	
8	sự_kiện	sự_kiện	O	
9	đặc_biệt	đặc_biệt	O	
10	của	của	O	
11	hãng	hãng	O	
12	.	.	O	
13	Thời_điểm	thời_điểm	O	
14	gần	gần	O	
15	nhất	nhất	O	
16	hiện_tại	hiện_tại	O	
17	là	là	O	
18	WWDC	wwdc	O	
19	2018	2018	O	
20	diễn	diễn	O	
21	ra	ra	O	
22	vào	vào	O	
23	đầu	đầu	O	
24	tháng	tháng	O	
25	6	6	O	
26	tới	tới	O	
27	.	.	O	
1	Phonearena	phonearena	B-MEDIA	
2	,	,	O	
3	việc	việc	O	
4	giảm_giá	giảm_giá	O	
5	là	là	O	
6	khả_năng	khả_năng	O	
7	khó	khó	O	
8	xảy	xảy	O	
9	ra	ra	O	
10	với	với	O	
11	Apple	apple	B-BRAND	
12	vì	vì	O	
13	hãng	hãng	O	
14	không	không	O	
15	thường	thường	O	
16	làm	làm	O	
17	điều	điều	O	
18	này	này	O	
19	khi	khi	O	
20	các	các	O	
21	model	model	O	
22	bán	bán	O	
23	ra	ra	O	
24	chưa	chưa	O	
25	có	có	O	
26	bản	bản	O	
27	nâng_cấp	nâng_cấp	B-ASPECT	
28	mới	mới	O	
29	.	.	O	
30	Dù	dù	O	
31	vậy	vậy	O	
32	,	,	O	
33	việc	việc	O	
34	các	các	O	
35	tin_đồn	tin_đồn	O	
36	xuất_hiện	xuất_hiện	O	
37	cũng	cũng	O	
38	cho	cho	O	
39	thấy	thấy	O	
40	Apple	apple	B-BRAND	
41	đang	đang	O	
42	không	không	O	
43	có	có	O	
44	được	được	O	
45	sự	sự	O	
46	lạc_quan	lạc_quan	O	
47	với	với	O	
48	bộ	bộ	O	
49	ba	ba	O	
50	iPhone	iphone	B-PRODUCT	
51	mới	mới	O	
52	của	của	O	
53	mình	mình	O	
54	.	.	O	
1	đôi	đôi	O	
2	iPhone	iphone	B-PRODUCT	
3	8	8	I-PRODUCT	
4	,	,	O	
5	8	8	B-PRODUCT	
6	Plus	plus	I-PRODUCT	
7	và	và	O	
8	đặc_biệt	đặc_biệt	O	
9	là	là	O	
10	iPhone	iphone	B-PRODUCT	
11	X	x	I-PRODUCT	
12	đều	đều	O	
13	có	có	O	
14	những	những	O	
15	thay_đổi	thay_đổi	O	
16	,	,	O	
17	nâng_cấp	nâng_cấp	O	
18	gây	gây	O	
19	chú_ý	chú_ý	O	
20	so	so	O	
21	với	với	O	
22	thế_hệ	thế_hệ	O	
23	tiền_nhiệm	tiền_nhiệm	O	
24	.	.	O	
1	cả	cả	O	
2	với	với	O	
3	8	8	O	
4	và	và	O	
5	8	8	B-PRODUCT	
6	Plus	plus	I-PRODUCT	
7	,	,	O	
8	2	2	O	
9	sản_phẩm	sản_phẩm	O	
10	được	được	O	
11	cho	cho	O	
12	là	là	O	
13	để	để	O	
14	thay_thế	thay_thế	O	
15	iPhone	iphone	B-PRODUCT	
16	7	7	I-PRODUCT	
17	và	và	O	
18	<7	<7	O	
19	Plus>	plus>	PRODUCTcũng/O	
20	bị	bị	O	
21	Apple	apple	B-BRAND	
22	đẩy	đẩy	O	
23	giá	giá	B-ASPECT	
24	niêm_yết	niêm_yết	O	
25	lên	lên	O	
26	cao	cao	O	
27	hơn	hơn	O	
28	.	.	O	
1	Hưng	hưng	I-PER	
1	,	,	O	
2	phí	phí	O	
3	thay	thay	O	
4	pin	pin	B-ASPECT	
5	chính_hãng	chính_hãng	O	
6	cho	cho	O	
7	iPhone	iphone	B-PRODUCT	
8	hết	hết	O	
9	bảo_hành	bảo_hành	B-ASPECT	
10	sẽ	sẽ	O	
11	là	là	O	
12	79	79	O	
13	USD	usd	O	
14	,	,	O	
15	nhưng	nhưng	O	
16	nay	nay	O	
17	giá	giá	B-ASPECT	
18	chỉ	chỉ	O	
19	còn	còn	O	
20	50	50	O	
21	USD	usd	O	
22	.	.	O	
